College,Year,Cutoff
Sinhgad College of Engineering,2021,92
Smt. Kashibai Navale College of Engineering,2021,92
Smt. Kashibai Navale College of Engineering,2022,92
Smt. Kashibai Navale College of Engineering,2023,95
Sinhgad College of Engineering,2022,95
Sinhgad College of Engineering,2023,90
